,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
0,-122.23,37.88,41.0,880,129,322,126,8,452600,NEAR BAY
1,-122.22,37.86,21.0,7099,1106,2401,1138,8,358500,NEAR BAY
2,-122.24,37.85,52.0,1467,190,496,177,7,352100,NEAR BAY
3,-122.25,37.85,52.0,1274,235,558,219,5,341300,NEAR BAY
4,-122.25,37.85,52.0,1627,280,565,259,3,342200,NEAR BAY
5,-122.25,37.85,52.0,919,213,413,193,4,269700,NEAR BAY
6,-122.25,37.84,52.0,2535,489,1094,514,3,299200,NEAR BAY
7,-122.25,37.84,52.0,3104,687,1157,647,3,241400,NEAR BAY
8,-122.26,37.84,42.0,2555,665,1206,595,2,226700,NEAR BAY
9,-122.25,37.84,52.0,3549,707,1551,714,3,261100,NEAR BAY
10,-122.26,37.85,52.0,2202,434,910,402,3,281500,NEAR BAY
11,-122.26,37.85,52.0,3503,752,1504,734,3,241800,NEAR BAY
12,-122.26,37.85,52.0,2491,474,1098,468,3,213500,NEAR BAY
13,-122.26,37.84,52.0,696,191,345,174,2,191300,NEAR BAY
14,-122.26,37.85,52.0,2643,626,1212,620,1,159200,NEAR BAY
15,-122.26,37.85,50.0,1120,283,697,264,2,140000,NEAR BAY
16,-122.27,37.85,52.0,1966,347,793,331,2,152500,NEAR BAY
17,-122.27,37.85,52.0,1228,293,648,303,2,155500,NEAR BAY
18,-122.26,37.84,50.0,2239,455,990,419,1,158700,NEAR BAY
19,-122.27,37.84,52.0,1503,298,690,275,2,162900,NEAR BAY
20,-122.27,37.85,40.0,751,184,409,166,1,147500,NEAR BAY
21,-122.27,37.85,42.0,1639,367,929,366,1,159800,NEAR BAY
22,-122.27,37.84,52.0,2436,541,1015,478,1,113900,NEAR BAY
23,-122.27,37.84,52.0,1688,337,853,325,2,99700,NEAR BAY
24,-122.27,37.84,52.0,2224,437,1006,422,2,132600,NEAR BAY
25,-122.28,37.85,41.0,535,123,317,119,2,107500,NEAR BAY
26,-122.28,37.85,49.0,1130,244,607,239,2,93800,NEAR BAY
27,-122.28,37.85,52.0,1898,421,1102,397,1,105500,NEAR BAY
28,-122.28,37.84,50.0,2082,492,1131,473,1,108900,NEAR BAY
29,-122.28,37.84,52.0,729,160,395,155,1,132000,NEAR BAY
30,-122.28,37.84,49.0,1916,447,863,378,1,122300,NEAR BAY
31,-122.28,37.84,52.0,2153,481,1168,441,1,115200,NEAR BAY
32,-122.27,37.84,48.0,1922,409,1026,335,1,110400,NEAR BAY
33,-122.27,37.83,49.0,1655,366,754,329,1,104900,NEAR BAY
34,-122.27,37.83,51.0,2665,574,1258,536,2,109700,NEAR BAY
35,-122.27,37.83,49.0,1215,282,570,264,1,97200,NEAR BAY
36,-122.27,37.83,48.0,1798,432,987,374,1,104500,NEAR BAY
37,-122.28,37.83,52.0,1511,390,901,403,1,103900,NEAR BAY
38,-122.26,37.83,52.0,1470,330,689,309,3,191400,NEAR BAY
39,-122.26,37.83,52.0,2432,715,1377,696,2,176000,NEAR BAY
40,-122.26,37.83,52.0,1665,419,946,395,2,155400,NEAR BAY
41,-122.26,37.83,51.0,936,311,517,249,1,150000,NEAR BAY
42,-122.26,37.84,49.0,713,202,462,189,1,118800,NEAR BAY
43,-122.26,37.84,52.0,950,202,467,198,3,188800,NEAR BAY
44,-122.26,37.83,52.0,1443,311,660,292,3,184400,NEAR BAY
45,-122.26,37.83,52.0,1656,420,718,382,2,182300,NEAR BAY
46,-122.26,37.83,50.0,1125,322,616,304,2,142500,NEAR BAY
47,-122.27,37.82,43.0,1007,312,558,253,1,137500,NEAR BAY
48,-122.26,37.82,40.0,624,195,423,160,0,187500,NEAR BAY
49,-122.27,37.82,40.0,946,375,700,352,1,112500,NEAR BAY
50,-122.27,37.82,21.0,896,453,735,438,0,171900,NEAR BAY
51,-122.27,37.82,43.0,1868,456,1061,407,1,93800,NEAR BAY
52,-122.27,37.82,41.0,3221,853,1959,720,1,97500,NEAR BAY
53,-122.27,37.82,52.0,1630,456,1162,400,1,104200,NEAR BAY
54,-122.28,37.82,52.0,1170,235,701,233,1,87500,NEAR BAY
55,-122.28,37.82,52.0,945,243,576,220,1,83100,NEAR BAY
56,-122.28,37.82,52.0,1238,288,622,259,1,87500,NEAR BAY
57,-122.28,37.82,52.0,1489,335,728,244,0,85300,NEAR BAY
58,-122.28,37.82,52.0,1387,341,1074,304,1,80300,NEAR BAY
59,-122.29,37.82,2.0,158,43,94,57,2,60000,NEAR BAY
60,-122.29,37.83,52.0,1121,211,554,187,3,75700,NEAR BAY
61,-122.29,37.82,49.0,135,29,86,23,6,75000,NEAR BAY
62,-122.29,37.81,50.0,760,190,377,122,0,86100,NEAR BAY
63,-122.3,37.81,52.0,1224,237,521,159,1,76100,NEAR BAY
64,-122.3,37.81,48.0,828,182,392,133,2,73500,NEAR BAY
65,-122.3,37.81,52.0,1010,209,604,187,1,78400,NEAR BAY
66,-122.3,37.81,48.0,1455,354,788,332,0,84400,NEAR BAY
67,-122.29,37.8,52.0,1027,244,492,147,2,81300,NEAR BAY
68,-122.3,37.81,52.0,572,109,274,82,1,85000,NEAR BAY
69,-122.29,37.81,46.0,2801,644,1823,611,0,129200,NEAR BAY
70,-122.29,37.81,26.0,768,152,392,127,1,82500,NEAR BAY
71,-122.29,37.81,46.0,935,297,582,277,0,95200,NEAR BAY
72,-122.29,37.81,49.0,844,204,560,152,1,75000,NEAR BAY
73,-122.29,37.81,46.0,12,4,18,7,0,67500,NEAR BAY
74,-122.29,37.81,20.0,835,161,290,133,2,137500,NEAR BAY
75,-122.28,37.81,17.0,1237,462,762,439,0,177500,NEAR BAY
76,-122.28,37.81,36.0,2914,562,1236,509,2,102100,NEAR BAY
77,-122.28,37.81,19.0,1207,243,721,207,1,108300,NEAR BAY
78,-122.29,37.81,23.0,1745,374,1054,325,0,112500,NEAR BAY
79,-122.28,37.8,38.0,684,176,344,155,2,131300,NEAR BAY
80,-122.28,37.81,17.0,924,289,609,289,1,162500,NEAR BAY
81,-122.27,37.81,52.0,210,56,183,56,1,112500,NEAR BAY
82,-122.28,37.81,52.0,340,97,200,87,1,112500,NEAR BAY
83,-122.28,37.81,52.0,386,164,346,155,0,137500,NEAR BAY
84,-122.28,37.81,35.0,948,184,467,169,1,118800,NEAR BAY
85,-122.28,37.81,52.0,773,143,377,115,2,98200,NEAR BAY
86,-122.27,37.81,40.0,880,451,582,380,0,118800,NEAR BAY
87,-122.27,37.81,10.0,875,348,546,330,0,162500,NEAR BAY
88,-122.27,37.8,10.0,105,42,125,39,0,137500,NEAR BAY
89,-122.27,37.8,52.0,249,78,396,85,1,500001,NEAR BAY
90,-122.27,37.8,16.0,994,392,800,362,2,162500,NEAR BAY
91,-122.28,37.8,52.0,215,87,904,88,0,137500,NEAR BAY
92,-122.28,37.8,52.0,96,31,191,34,0,162500,NEAR BAY
93,-122.27,37.79,27.0,1055,347,718,302,2,187500,NEAR BAY
94,-122.27,37.8,39.0,1715,623,1327,467,1,179200,NEAR BAY
95,-122.26,37.8,36.0,5329,2477,3469,2323,2,130000,NEAR BAY
96,-122.26,37.82,31.0,4596,1331,2048,1180,2,183800,NEAR BAY
97,-122.26,37.81,29.0,335,107,202,91,2,125000,NEAR BAY
98,-122.26,37.82,22.0,3682,1270,2024,1250,1,170000,NEAR BAY
99,-122.26,37.82,37.0,3633,1085,1838,980,2,193100,NEAR BAY
100,-122.25,37.81,29.0,4656,1414,2304,1250,2,257800,NEAR BAY
101,-122.25,37.81,28.0,5806,1603,2563,1497,3,273400,NEAR BAY
102,-122.25,37.81,39.0,854,242,389,228,3,237500,NEAR BAY
103,-122.25,37.81,52.0,2155,701,895,613,2,350000,NEAR BAY
104,-122.26,37.81,34.0,5871,1914,2689,1789,2,335700,NEAR BAY
105,-122.24,37.82,52.0,1509,225,674,244,4,313400,NEAR BAY
106,-122.24,37.81,52.0,2026,482,709,456,3,268500,NEAR BAY
107,-122.25,37.81,52.0,1758,460,686,422,3,259400,NEAR BAY
108,-122.24,37.82,52.0,3481,751,1444,718,3,275700,NEAR BAY
109,-122.25,37.82,28.0,3337,855,1520,802,3,225000,NEAR BAY
110,-122.25,37.82,52.0,1424,289,550,253,5,262500,NEAR BAY
111,-122.25,37.82,32.0,3809,1098,1806,1022,2,218500,NEAR BAY
112,-122.25,37.82,26.0,3959,1196,1749,1217,3,255000,NEAR BAY
113,-122.25,37.83,52.0,2376,559,939,519,3,224100,NEAR BAY
114,-122.25,37.83,35.0,1613,428,675,422,3,243100,NEAR BAY
